1705270845.977472,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977522,ens33,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977534,s1-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977548,s2-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977558,s1-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977568,s3-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977620,s2-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977631,s3-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270845.977660,total,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270846.977939,lo,15312.00,15312.00,30624.00,15312,15312,101.00,101.00,202.00,101,101,0.00,0.00,0,0,122496.00,122496.00,244992.00,122496,122496
1705270846.977967,ens33,4357.00,6803.00,11160.00,6803,4357,46.00,46.00,92.00,46,46,0.00,0.00,0,0,34856.00,54424.00,89280.00,54424,34856
1705270846.977982,s1-eth1,6037103.00,54714.00,6091817.00,54714,6037103,848.00,829.00,1677.00,829,848,0.00,0.00,0,0,48296824.00,437712.00,48734536.00,437712,48296824
1705270846.977996,s2-eth1,6029399.00,54821.00,6084220.00,54821,6029399,844.00,830.00,1674.00,830,844,0.00,0.00,0,0,48235192.00,438568.00,48673760.00,438568,48235192
1705270846.978009,s1-eth2,54821.00,6029399.00,6084220.00,6029399,54821,830.00,844.00,1674.00,844,830,0.00,0.00,0,0,438568.00,48235192.00,48673760.00,48235192,438568
1705270846.978023,s3-eth1,6036598.00,55587.00,6092185.00,55587,6036598,844.00,834.00,1678.00,834,844,0.00,0.00,0,0,48292784.00,444696.00,48737480.00,444696,48292784
1705270846.978132,s2-eth2,55587.00,6036598.00,6092185.00,6036598,55587,834.00,844.00,1678.00,844,834,0.00,0.00,0,0,444696.00,48292784.00,48737480.00,48292784,444696
1705270846.978151,s3-eth2,56627.00,6028096.00,6084723.00,6028096,56627,841.00,834.00,1675.00,834,841,0.00,0.00,0,0,453016.00,48224768.00,48677784.00,48224768,453016
1705270846.978176,total,18289804.00,18281330.00,36571136.00,18281330,18289804,5188.00,5162.00,10350.00,5162,5188,0.00,0.00,0,0,146318432.00,146250640.00,292569088.00,146250640,146318432
1705270847.978512,lo,4424.00,4424.00,8848.00,4424,4424,24.00,24.00,48.00,24,24,0.00,0.00,0,0,35392.00,35392.00,70784.00,35392,35392
1705270847.978539,ens33,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0
1705270847.978552,s1-eth1,6035466.00,54450.00,6089916.00,54450,6035466,830.00,825.00,1655.00,825,830,0.00,0.00,0,0,48283728.00,435600.00,48719328.00,435600,48283728
